# L TxT TxW1 TxW2 TxW3 W1xW1 W1xW2 W1xW3 W2xW2 W2xW3 W3xW3
2.800000000000000000e+01 1.078265013987276353e-12 2.091561435709721271e-10 1.420407931370652690e-10 7.979873553854194623e-11 8.280197805275697705e-06 1.103956001030493920e-06 1.647641669777487489e-09 4.579431606500655156e-06 5.502790405483232180e-07 1.676048900444881672e-06
2.900000000000000000e+01 1.021929280498019776e-12 1.925834660584123085e-10 1.332886974149091973e-10 7.545880995721031047e-11 8.153062797674258091e-06 1.105598953397704800e-06 1.704066710667186010e-09 4.600700024188204723e-06 5.568036840940557356e-07 1.695246687733870764e-06
3.000000000000000000e+01 9.709112975303600848e-13 1.776255432871986376e-10 1.252492319678877660e-10 7.143327594605967832e-11 8.022488976933073374e-06 1.105775854863759030e-06 1.781532693321503568e-09 4.616900201751718014e-06 5.625848102905969703e-07 1.712858410650321883e-06
3.100000000000000000e+01 9.240439448796805457e-13 1.640863528575864146e-10 1.177970175823702805e-10 6.769048621220364489e-11 7.889647925076548823e-06 1.104629919074836615e-06 1.851432892853064361e-09 4.628425340910109411e-06 5.677017604295973362e-07 1.728986090253653999e-06
3.200000000000000000e+01 8.815132873141151150e-13 1.517957050177688259e-10 1.108384861083263003e-10 6.420311313576677192e-11 7.755563838073687867e-06 1.102296124977205962e-06 1.890096635349356754e-09 4.635651089434136005e-06 5.722280878819770054e-07 1.743728874821223697e-06
3.300000000000000000e+01 8.424045863698272769e-13 1.406265424506378040e-10 1.043839800699044674e-10 6.094691036399311903e-11 7.620836088443264614e-06 1.098862495864075653e-06 1.916440275954525622e-09 4.638768762178977567e-06 5.761843669424600204e-07 1.757121683805218813e-06
3.400000000000000000e+01 8.063270146085650195e-13 1.304689020529208595e-10 9.843743563146679478e-11 5.790144174162768043e-11 7.485927198652037028e-06 1.094403897835924223e-06 1.949582430594344234e-09 4.637944938402453574e-06 5.795847279361246143e-07 1.769193728656006106e-06
3.500000000000000000e+01 7.733452511237252822e-13 1.212127435002698398e-10 9.292213177057600646e-11 5.505208775332754551e-11 7.351341543528178255e-06 1.088996215458968196e-06 1.987527616188217535e-09 4.633386232335705842e-06 5.824546030008491497e-07 1.779986971562743031e-06
3.600000000000000000e+01 7.425433559118863938e-13 1.127600944656579358e-10 8.776689493982853833e-11 5.238718607361093556e-11 7.217522657821656114e-06 1.082711216343104727e-06 2.024215414632045467e-09 4.625302535270058650e-06 5.848210840255352175e-07 1.789547361340216649e-06
3.700000000000000000e+01 7.140387858029063555e-13 1.050284136825630813e-10 8.295455343616699252e-11 4.989916203797544626e-11 7.084870340664466121e-06 1.075618807083988881e-06 2.053232775715351178e-09 4.613904584410018680e-06 5.867101585937258731e-07 1.797920764192289939e-06
3.800000000000000000e+01 6.876690385717435348e-13 9.794590597151037170e-11 7.847378074135246778e-11 4.757843166745740429e-11 6.953709711246995851e-06 1.067783484177479431e-06 2.070823772693349015e-09 4.599386386096905565e-06 5.881447898554239524e-07 1.805149553478546465e-06
3.900000000000000000e+01 6.631706194046699796e-13 9.144855532825432601e-11 7.429430014602335372e-11 4.540512303037196255e-11 6.824296112573453495e-06 1.059265354725814978e-06 2.080532957530928327e-09 4.581909010001585209e-06 5.891402312206864248e-07 1.811262496823200652e-06
4.000000000000000000e+01 6.403237222819323401e-13 8.547984075073792774e-11 7.038489857759268282e-11 4.335943875306452985e-11 6.696825153669798146e-06 1.050118780296957103e-06 2.086840292460722169e-09 4.561620260615976643e-06 5.897104704509187459e-07 1.816287732367246221e-06
4.100000000000000000e+01 6.189347075078051240e-13 7.998976682635673468e-11 6.671927870430749506e-11 4.142575314357260496e-11 6.571464498361355545e-06 1.040397381496420971e-06 2.092734639933037724e-09 4.538673658057197810e-06 5.898714499287423404e-07 1.820257396409142959e-06
4.200000000000000000e+01 5.988770252768744439e-13 7.493350706307718282e-11 6.327832206902852025e-11 3.959594625337062062e-11 6.448419663880582893e-06 1.030167496941869656e-06 2.098029476230630388e-09 4.513263365801369017e-06 5.896449149403933580e-07 1.823210906887292989e-06
4.300000000000000000e+01 5.800421082825418241e-13 7.027120150512260570e-11 6.004581396303922044e-11 3.786396390369799128e-11 6.327864973444531261e-06 1.019491468626441755e-06 2.101944351658282912e-09 4.485577159401169766e-06 5.890526711861047306e-07 1.825188649537834499e-06
4.400000000000000000e+01 5.623484880201992230e-13 6.596744723434273522e-11 5.700706069712409176e-11 3.622419864624472675e-11 6.209929724198366936e-06 1.008423637254115851e-06 2.103841196534320045e-09 4.455784363541511443e-06 5.881149963697009842e-07 1.826229988916928754e-06
4.500000000000000000e+01 5.457278466371388300e-13 6.199071456933614604e-11 5.414871560900780644e-11 3.467145114231692101e-11 6.094706291209576615e-06 9.970114793123005948e-07 2.103200909590517531e-09 4.424038048841204799e-06 5.868507616886372022e-07 1.826373100196058095e-06
4.600000000000000000e+01 5.300788712313523620e-13 5.831264552979200408e-11 5.145856569337769386e-11 3.320069715715267201e-11 5.982261312276455185e-06 9.853000204770531728e-07 2.099734578151811620e-09 4.390486525692774559e-06 5.852780459186062910e-07 1.825655378721881361e-06
4.700000000000000000e+01 5.153178332421873909e-13 5.490708336905202357e-11 4.892523349577717586e-11 3.180652778927971030e-11 5.872653240696089461e-06 9.733418602235530415e-07 2.093715685450949705e-09 4.355300584425994935e-06 5.834155776344997435e-07 1.824114760912505208e-06
4.800000000000000000e+01 5.013665777882638371e-13 5.175042964728588132e-11 4.653828333605170671e-11 3.048381684092834804e-11 5.765920970168788019e-06 9.611857138725565443e-07 2.085507560416961125e-09 4.318641167717466105e-06 5.812810633926628411e-07 1.821787860078498013e-06
4.900000000000000000e+01 4.881602348188615079e-13 4.882152694746647840e-11 4.428818115608929156e-11 2.922788319764244951e-11 5.662083276346385939e-06 9.488737106269757568e-07 2.075427901691104474e-09 4.280651472728764793e-06 5.788907958964125754e-07 1.818709461913399211e-06
5.000000000000000000e+01 4.756624751842912660e-13 4.610136532925027372e-11 4.216619957965645408e-11 2.803444376251422524e-11 5.561142456499008134e-06 9.364423028865880878e-07 2.063754875103461616e-09 4.241459168323691176e-06 5.762597923471703630e-07 1.814912595686779006e-06
5.100000000000000000e+01 4.638403355920712267e-13 4.357274531584370377e-11 4.016422211746983268e-11 2.689961723604475147e-11 5.463084217014984937e-06 9.239250812194110595e-07 2.050700916213696060e-09 4.201185358612244881e-06 5.734023010982322853e-07 1.810429058157292129e-06
5.200000000000000000e+01 4.526284025391435736e-13 4.121983292868158112e-11 3.827436628825830459e-11 2.582000934830585493e-11 5.367871723066165039e-06 9.113589417275081274e-07 2.036332456782636274e-09 4.159965267923299248e-06 5.703329469518271671e-07 1.805290701085543276e-06
5.300000000000000000e+01 4.419625976862943439e-13 3.902825939310914929e-11 3.648930991862410123e-11 2.479252464362390536e-11 5.275458601107043576e-06 8.987775654669593244e-07 2.020682777172877480e-09 4.117925161388743334e-06 5.670654937493702776e-07 1.799527952145554410e-06
5.400000000000000000e+01 4.318005065533059132e-13 3.698503600825477482e-11 3.480234286187389228e-11 2.381429480881221098e-11 5.185793724873342710e-06 8.862099320789185997e-07 2.003785628080300677e-09 4.075176761660583469e-06 5.636125593306864479e-07 1.793169458903377157e-06
5.500000000000000000e+01 4.221077260896716732e-13 3.507840100901450872e-11 3.320730525411631031e-11 2.288265821237417195e-11 5.098822365208703752e-06 8.736809406198373173e-07 1.985674930439732594e-09 4.031819025878900832e-06 5.599857308015585499e-07 1.786242209111218660e-06
5.600000000000000000e+01 4.128835709145820132e-13 3.329765597134446169e-11 3.169851678959673148e-11 2.199510497759235889e-11 5.014482332897494812e-06 8.612132359244935305e-07 1.966402328805583860e-09 3.987945225551158848e-06 5.561960908632779491e-07 1.778772283922537208e-06
5.700000000000000000e+01 4.041229975542747332e-13 3.163296752974876437e-11 3.027068429965999007e-11 2.114916079340422293e-11 4.932691664735354672e-06 8.488311891183207452e-07 1.946085473667120506e-09 3.943659376041356440e-06 5.522554644361850226e-07 1.770786709120330999e-06
5.800000000000000000e+01 3.957844528863311319e-13 3.007536646769624328e-11 2.891891474506086652e-11 2.034249808421662683e-11 4.853365797510921276e-06 8.365568570581426199e-07 1.924846736074575920e-09 3.899058366584560760e-06 5.481750400185080765e-07 1.762311347384034811e-06
5.900000000000000000e+01 3.878197032742534301e-13 2.861668605200307789e-11 2.763869306475434403e-11 1.957295857021969681e-11 4.776422801195308580e-06 8.244090653208124100e-07 1.902795710780535694e-09 3.854227564628047740e-06 5.439650261273172866e-07 1.753370361000616821e-06
6.000000000000000000e+01 3.802009075594062137e-13 2.724947949029796269e-11 2.642584695017561229e-11 1.883853823297208079e-11 4.701783409366900670e-06 8.124038173919703440e-07 1.880030642020706002e-09 3.809242175199603827e-06 5.396347508118399401e-07 1.743986349291324997e-06
6.100000000000000000e+01 3.729087847553210035e-13 2.596694265767087187e-11 2.527649144846066646e-11 1.813735351858574232e-11 4.629370939056088642e-06 8.005562175382561969e-07 1.856668751131232948e-09 3.764175912744517577e-06 5.351938692097712787e-07 1.734182858241068461e-06
6.200000000000000000e+01 3.659251441593187045e-13 2.476283760570380792e-11 2.418693502674570318e-11 1.746757342558989894e-11 4.559111043112413592e-06 7.888850840848019475e-07 1.832927181427974142e-09 3.719122592406231389e-06 5.306555158342558240e-07 1.723991043285670907e-06
6.300000000000000000e+01 3.592357522351386599e-13 2.363145006422070680e-11 2.315373613043611430e-11 1.682747784327530079e-11 4.490931961428639183e-06 7.774078839494574099e-07 1.809024983162016054e-09 3.674171563257891658e-06 5.260325626844849776e-07 1.713441651296323653e-06
6.400000000000000000e+01 3.528242166516773157e-13 2.256754281231525498e-11 2.217370428354122746e-11 1.621546777661214442e-11 4.424764556561591461e-06 7.661394252378750506e-07 1.785155341780887795e-09 3.629401140230610901e-06 5.213365786821733459e-07 1.702562765079028748e-06
