#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
    35   0.153485E-09   0.259937E-12   0.396240E-09   0.123055E-07   0.259937E-12   0.487742E-14  -0.452476E-12   0.102626E-11   0.396240E-09  -0.452476E-12   0.139095E-06   0.378477E-05   0.123055E-07   0.102626E-11   0.378477E-05   0.251931E-03
    36   0.155819E-09   0.258050E-12   0.386741E-09   0.122838E-07   0.258050E-12   0.536927E-14  -0.478302E-12   0.101426E-11   0.386741E-09  -0.478302E-12   0.139015E-06   0.388285E-05   0.122838E-07   0.101426E-11   0.388285E-05   0.266098E-03
    37   0.158189E-09   0.254659E-12   0.377570E-09   0.122485E-07   0.254659E-12   0.589653E-14  -0.448594E-12   0.101026E-11   0.377570E-09  -0.448594E-12   0.138888E-06   0.397779E-05   0.122485E-07   0.101026E-11   0.397779E-05   0.280440E-03
    38   0.160610E-09   0.250023E-12   0.368821E-09   0.122082E-07   0.250023E-12   0.645735E-14  -0.389932E-12   0.997559E-12   0.368821E-09  -0.389932E-12   0.138717E-06   0.406961E-05   0.122082E-07   0.997559E-12   0.406961E-05   0.294934E-03
    39   0.163067E-09   0.244119E-12   0.360450E-09   0.121635E-07   0.244119E-12   0.705087E-14  -0.330832E-12   0.975727E-12   0.360450E-09  -0.330832E-12   0.138507E-06   0.415831E-05   0.121635E-07   0.975727E-12   0.415831E-05   0.309561E-03
    40   0.165542E-09   0.236714E-12   0.352422E-09   0.121120E-07   0.236714E-12   0.767690E-14  -0.298744E-12   0.949572E-12   0.352422E-09  -0.298744E-12   0.138259E-06   0.424389E-05   0.121120E-07   0.949572E-12   0.424389E-05   0.324300E-03
    41   0.168022E-09   0.227657E-12   0.344699E-09   0.120520E-07   0.227657E-12   0.833563E-14  -0.312799E-12   0.924285E-12   0.344699E-09  -0.312799E-12   0.137976E-06   0.432632E-05   0.120520E-07   0.924285E-12   0.432632E-05   0.339130E-03
    42   0.170510E-09   0.217094E-12   0.337233E-09   0.119846E-07   0.217094E-12   0.902887E-14  -0.358831E-12   0.906574E-12   0.337233E-09  -0.358831E-12   0.137659E-06   0.440558E-05   0.119846E-07   0.906574E-12   0.440558E-05   0.354030E-03
    43   0.173015E-09   0.205181E-12   0.329986E-09   0.119118E-07   0.205181E-12   0.975864E-14  -0.414501E-12   0.901514E-12   0.329986E-09  -0.414501E-12   0.137310E-06   0.448162E-05   0.119118E-07   0.901514E-12   0.448162E-05   0.368976E-03
    44   0.175546E-09   0.191807E-12   0.322975E-09   0.118358E-07   0.191807E-12   0.105260E-13  -0.458053E-12   0.906116E-12   0.322975E-09  -0.458053E-12   0.136929E-06   0.455447E-05   0.118358E-07   0.906116E-12   0.455447E-05   0.383948E-03
