#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
    32   0.146884E-09   0.249015E-12   0.499205E-09   0.226671E-07   0.249015E-12   0.362465E-14  -0.593877E-12   0.342571E-11   0.499205E-09  -0.593877E-12   0.128471E-06   0.588586E-05   0.226671E-07   0.342571E-11   0.588586E-05   0.516340E-03
    33   0.149166E-09   0.248639E-12   0.485794E-09   0.224106E-07   0.248639E-12   0.400479E-14  -0.564018E-12   0.314132E-11   0.485794E-09  -0.564018E-12   0.128429E-06   0.598029E-05   0.224106E-07   0.314132E-11   0.598029E-05   0.534232E-03
    34   0.151462E-09   0.246656E-12   0.472765E-09   0.221520E-07   0.246656E-12   0.441623E-14  -0.480075E-12   0.289226E-11   0.472765E-09  -0.480075E-12   0.128334E-06   0.607039E-05   0.221520E-07   0.289226E-11   0.607039E-05   0.552037E-03
    35   0.153850E-09   0.242660E-12   0.460150E-09   0.218910E-07   0.242660E-12   0.486261E-14  -0.348457E-12   0.271430E-11   0.460150E-09  -0.348457E-12   0.128189E-06   0.615630E-05   0.218910E-07   0.271430E-11   0.615630E-05   0.569744E-03
    36   0.156206E-09   0.238729E-12   0.448021E-09   0.216273E-07   0.238729E-12   0.534753E-14  -0.189799E-12   0.260670E-11   0.448021E-09  -0.189799E-12   0.127999E-06   0.623816E-05   0.216273E-07   0.260670E-11   0.623816E-05   0.587346E-03
    37   0.158602E-09   0.233752E-12   0.436547E-09   0.213627E-07   0.233752E-12   0.586746E-14  -0.639377E-13   0.251395E-11   0.436547E-09  -0.639377E-13   0.127767E-06   0.631608E-05   0.213627E-07   0.251395E-11   0.631608E-05   0.604832E-03
    38   0.161055E-09   0.227544E-12   0.425847E-09   0.210990E-07   0.227544E-12   0.641466E-14  -0.235234E-13   0.239002E-11   0.425847E-09  -0.235234E-13   0.127497E-06   0.639022E-05   0.210990E-07   0.239002E-11   0.639022E-05   0.622196E-03
    39   0.163547E-09   0.220150E-12   0.415738E-09   0.208361E-07   0.220150E-12   0.699133E-14  -0.532590E-13   0.228167E-11   0.415738E-09  -0.532590E-13   0.127189E-06   0.646064E-05   0.208361E-07   0.228167E-11   0.646064E-05   0.639429E-03
    40   0.166066E-09   0.211533E-12   0.405966E-09   0.205738E-07   0.211533E-12   0.760252E-14  -0.120861E-12   0.225884E-11   0.405966E-09  -0.120861E-12   0.126847E-06   0.652744E-05   0.205738E-07   0.225884E-11   0.652744E-05   0.656522E-03
    41   0.168598E-09   0.201659E-12   0.396332E-09   0.203117E-07   0.201659E-12   0.825221E-14  -0.197627E-12   0.237197E-11   0.396332E-09  -0.197627E-12   0.126472E-06   0.659072E-05   0.203117E-07   0.237197E-11   0.659072E-05   0.673468E-03
    42   0.171144E-09   0.190507E-12   0.386871E-09   0.200502E-07   0.190507E-12   0.894005E-14  -0.269173E-12   0.259347E-11   0.386871E-09  -0.269173E-12   0.126066E-06   0.665059E-05   0.200502E-07   0.259347E-11   0.665059E-05   0.690265E-03
    43   0.173708E-09   0.178002E-12   0.377676E-09   0.197894E-07   0.178002E-12   0.966454E-14  -0.324698E-12   0.287626E-11   0.377676E-09  -0.324698E-12   0.125632E-06   0.670717E-05   0.197894E-07   0.287626E-11   0.670717E-05   0.706909E-03
    44   0.176298E-09   0.163853E-12   0.368838E-09   0.195298E-07   0.163853E-12   0.104239E-13  -0.353399E-12   0.317327E-11   0.368838E-09  -0.353399E-12   0.125172E-06   0.676061E-05   0.195298E-07   0.317327E-11   0.676061E-05   0.723400E-03
    45   0.178925E-09   0.147729E-12   0.360449E-09   0.192718E-07   0.147729E-12   0.112161E-13  -0.344473E-12   0.343742E-11   0.360449E-09  -0.344473E-12   0.124689E-06   0.681101E-05   0.192718E-07   0.343742E-11   0.681101E-05   0.739733E-03
    46   0.181584E-09   0.129430E-12   0.352567E-09   0.190155E-07   0.129430E-12   0.120393E-13  -0.291988E-12   0.362741E-11   0.352567E-09  -0.291988E-12   0.124184E-06   0.685851E-05   0.190155E-07   0.362741E-11   0.685851E-05   0.755909E-03
    47   0.184273E-09   0.109032E-12   0.345114E-09   0.187612E-07   0.109032E-12   0.128959E-13  -0.209490E-12   0.372520E-11   0.345114E-09  -0.209490E-12   0.123659E-06   0.690323E-05   0.187612E-07   0.372520E-11   0.690323E-05   0.771926E-03
    48   0.186988E-09   0.866768E-13   0.337976E-09   0.185089E-07   0.866768E-13   0.137877E-13  -0.115395E-12   0.371853E-11   0.337976E-09  -0.115395E-12   0.123116E-06   0.694526E-05   0.185089E-07   0.371853E-11   0.694526E-05   0.787786E-03
    49   0.189725E-09   0.625164E-13   0.331041E-09   0.182588E-07   0.625164E-13   0.147169E-13  -0.281178E-13   0.359516E-11   0.331041E-09  -0.281178E-13   0.122556E-06   0.698472E-05   0.182588E-07   0.359516E-11   0.698472E-05   0.803487E-03
    50   0.192491E-09   0.367215E-13   0.324194E-09   0.180108E-07   0.367215E-13   0.156870E-13   0.339252E-13   0.334282E-11   0.324194E-09   0.339252E-13   0.121981E-06   0.702172E-05   0.180108E-07   0.334282E-11   0.702172E-05   0.819031E-03
    51   0.195293E-09   0.945277E-14   0.317353E-09   0.177651E-07   0.945277E-14   0.167006E-13   0.571405E-13   0.296055E-11   0.317353E-09   0.571405E-13   0.121392E-06   0.705635E-05   0.177651E-07   0.296055E-11   0.705635E-05   0.834419E-03
    52   0.198123E-09  -0.191977E-13   0.310558E-09   0.175221E-07  -0.191977E-13   0.177569E-13   0.472235E-13   0.249259E-11   0.310558E-09   0.472235E-13   0.120791E-06   0.708872E-05   0.175221E-07   0.249259E-11   0.708872E-05   0.849649E-03
    53   0.200973E-09  -0.491830E-13   0.303878E-09   0.172819E-07  -0.491830E-13   0.188536E-13   0.146917E-13   0.199445E-11   0.303878E-09   0.146917E-13   0.120178E-06   0.711889E-05   0.172819E-07   0.199445E-11   0.711889E-05   0.864722E-03
    54   0.203841E-09  -0.805718E-13   0.297384E-09   0.170449E-07  -0.805718E-13   0.199885E-13  -0.299376E-13   0.152163E-11   0.297384E-09  -0.299376E-13   0.119553E-06   0.714696E-05   0.170449E-07   0.152163E-11   0.714696E-05   0.879638E-03
    55   0.206725E-09  -0.113483E-12   0.291145E-09   0.168113E-07  -0.113483E-12   0.211595E-13  -0.761467E-13   0.112968E-11   0.291145E-09  -0.761467E-13   0.118919E-06   0.717301E-05   0.168113E-07   0.112968E-11   0.717301E-05   0.894397E-03
    56   0.209643E-09  -0.148111E-12   0.285214E-09   0.165814E-07  -0.148111E-12   0.223645E-13  -0.115255E-12   0.862842E-12   0.285214E-09  -0.115255E-12   0.118276E-06   0.719712E-05   0.165814E-07   0.862842E-12   0.719712E-05   0.909000E-03
    57   0.212606E-09  -0.184611E-12   0.279574E-09   0.163552E-07  -0.184611E-12   0.236038E-13  -0.145932E-12   0.720431E-12   0.279574E-09  -0.145932E-12   0.117625E-06   0.721934E-05   0.163552E-07   0.720431E-12   0.721934E-05   0.923445E-03
    58   0.215608E-09  -0.223039E-12   0.274191E-09   0.161327E-07  -0.223039E-12   0.248788E-13  -0.168682E-12   0.690497E-12   0.274191E-09  -0.168682E-12   0.116965E-06   0.723975E-05   0.161327E-07   0.690497E-12   0.723975E-05   0.937734E-03
    59   0.218638E-09  -0.263408E-12   0.269031E-09   0.159137E-07  -0.263408E-12   0.261908E-13  -0.184010E-12   0.761095E-12   0.269031E-09  -0.184010E-12   0.116298E-06   0.725841E-05   0.159137E-07   0.761095E-12   0.725841E-05   0.951866E-03
    60   0.221693E-09  -0.305678E-12   0.264060E-09   0.156983E-07  -0.305678E-12   0.275404E-13  -0.192422E-12   0.920278E-12   0.264060E-09  -0.192422E-12   0.115624E-06   0.727537E-05   0.156983E-07   0.920278E-12   0.727537E-05   0.965840E-03
    61   0.224772E-09  -0.349804E-12   0.259243E-09   0.154864E-07  -0.349804E-12   0.289277E-13  -0.194596E-12   0.115291E-11   0.259243E-09  -0.194596E-12   0.114944E-06   0.729071E-05   0.154864E-07   0.115291E-11   0.729071E-05   0.979659E-03
    62   0.227877E-09  -0.395760E-12   0.254549E-09   0.152779E-07  -0.395760E-12   0.303519E-13  -0.191906E-12   0.143106E-11   0.254549E-09  -0.191906E-12   0.114259E-06   0.730450E-05   0.152779E-07   0.143106E-11   0.730450E-05   0.993325E-03
    63   0.231010E-09  -0.443531E-12   0.249946E-09   0.150728E-07  -0.443531E-12   0.318123E-13  -0.185894E-12   0.172361E-11   0.249946E-09  -0.185894E-12   0.113569E-06   0.731684E-05   0.150728E-07   0.172361E-11   0.731684E-05   0.100684E-02
    64   0.234172E-09  -0.493101E-12   0.245401E-09   0.148710E-07  -0.493101E-12   0.333078E-13  -0.178108E-12   0.199946E-11   0.245401E-09  -0.178108E-12   0.112875E-06   0.732781E-05   0.148710E-07   0.199946E-11   0.732781E-05   0.102022E-02
    65   0.237367E-09  -0.544461E-12   0.240881E-09   0.146725E-07  -0.544461E-12   0.348379E-13  -0.170093E-12   0.222748E-11   0.240881E-09  -0.170093E-12   0.112179E-06   0.733750E-05   0.146725E-07   0.222748E-11   0.733750E-05   0.103347E-02
    66   0.240599E-09  -0.597605E-12   0.236369E-09   0.144771E-07  -0.597605E-12   0.364010E-13  -0.163334E-12   0.238312E-11   0.236369E-09  -0.163334E-12   0.111481E-06   0.734599E-05   0.144771E-07   0.238312E-11   0.734599E-05   0.104658E-02
    67   0.243867E-09  -0.652433E-12   0.231901E-09   0.142848E-07  -0.652433E-12   0.379960E-13  -0.159088E-12   0.246810E-11   0.231901E-09  -0.159088E-12   0.110782E-06   0.735335E-05   0.142848E-07   0.246810E-11   0.735335E-05   0.105956E-02
    68   0.247164E-09  -0.708817E-12   0.227525E-09   0.140958E-07  -0.708817E-12   0.396216E-13  -0.158549E-12   0.249069E-11   0.227525E-09  -0.158549E-12   0.110081E-06   0.735962E-05   0.140958E-07   0.249069E-11   0.735962E-05   0.107242E-02
    69   0.250486E-09  -0.766636E-12   0.223292E-09   0.139098E-07  -0.766636E-12   0.412766E-13  -0.162913E-12   0.245918E-11   0.223292E-09  -0.162913E-12   0.109381E-06   0.736487E-05   0.139098E-07   0.245918E-11   0.736487E-05   0.108516E-02
    70   0.253827E-09  -0.825793E-12   0.219250E-09   0.137270E-07  -0.825793E-12   0.429600E-13  -0.173377E-12   0.238184E-11   0.219250E-09  -0.173377E-12   0.108680E-06   0.736916E-05   0.137270E-07   0.238184E-11   0.736916E-05   0.109779E-02
    71   0.257184E-09  -0.886246E-12   0.215435E-09   0.135474E-07  -0.886246E-12   0.446712E-13  -0.190417E-12   0.226794E-11   0.215435E-09  -0.190417E-12   0.107979E-06   0.737253E-05   0.135474E-07   0.226794E-11   0.737253E-05   0.111030E-02
    72   0.260574E-09  -0.948156E-12   0.211832E-09   0.133709E-07  -0.948156E-12   0.464097E-13  -0.211631E-12   0.213062E-11   0.211832E-09  -0.211631E-12   0.107278E-06   0.737502E-05   0.133709E-07   0.213062E-11   0.737502E-05   0.112269E-02
    73   0.264009E-09  -0.101170E-11   0.208408E-09   0.131974E-07  -0.101170E-11   0.481749E-13  -0.233897E-12   0.198402E-11   0.208408E-09  -0.233897E-12   0.106578E-06   0.737664E-05   0.131974E-07   0.198402E-11   0.737664E-05   0.113497E-02
    74   0.267493E-09  -0.107692E-11   0.205135E-09   0.130269E-07  -0.107692E-11   0.499652E-13  -0.254092E-12   0.184230E-11   0.205135E-09  -0.254092E-12   0.105878E-06   0.737743E-05   0.130269E-07   0.184230E-11   0.737743E-05   0.114714E-02
    75   0.271025E-09  -0.114381E-11   0.201980E-09   0.128595E-07  -0.114381E-11   0.517793E-13  -0.269096E-12   0.171957E-11   0.201980E-09  -0.269096E-12   0.105179E-06   0.737741E-05   0.128595E-07   0.171957E-11   0.737741E-05   0.115919E-02
    76   0.274599E-09  -0.121233E-11   0.198917E-09   0.126950E-07  -0.121233E-11   0.536152E-13  -0.276685E-12   0.162645E-11   0.198917E-09  -0.276685E-12   0.104480E-06   0.737661E-05   0.126950E-07   0.162645E-11   0.737661E-05   0.117111E-02
    77   0.278197E-09  -0.128228E-11   0.195922E-09   0.125334E-07  -0.128228E-11   0.554718E-13  -0.278236E-12   0.155944E-11   0.195922E-09  -0.278236E-12   0.103781E-06   0.737506E-05   0.125334E-07   0.155944E-11   0.737506E-05   0.118293E-02
    78   0.281819E-09  -0.135358E-11   0.192975E-09   0.123747E-07  -0.135358E-11   0.573474E-13  -0.276027E-12   0.151151E-11   0.192975E-09  -0.276027E-12   0.103084E-06   0.737282E-05   0.123747E-07   0.151151E-11   0.737282E-05   0.119463E-02
    79   0.285468E-09  -0.142619E-11   0.190057E-09   0.122188E-07  -0.142619E-11   0.592407E-13  -0.272332E-12   0.147561E-11   0.190057E-09  -0.272332E-12   0.102388E-06   0.736993E-05   0.122188E-07   0.147561E-11   0.736993E-05   0.120623E-02
    80   0.289149E-09  -0.150009E-11   0.187146E-09   0.120657E-07  -0.150009E-11   0.611503E-13  -0.269429E-12   0.144473E-11   0.187146E-09  -0.269429E-12   0.101694E-06   0.736645E-05   0.120657E-07   0.144473E-11   0.736645E-05   0.121773E-02
    81   0.292864E-09  -0.157524E-11   0.184231E-09   0.119154E-07  -0.157524E-11   0.630748E-13  -0.269089E-12   0.141308E-11   0.184231E-09  -0.269089E-12   0.101002E-06   0.736241E-05   0.119154E-07   0.141308E-11   0.736241E-05   0.122912E-02
    82   0.296616E-09  -0.165155E-11   0.181323E-09   0.117678E-07  -0.165155E-11   0.650129E-13  -0.271054E-12   0.137985E-11   0.181323E-09  -0.271054E-12   0.100313E-06   0.735785E-05   0.117678E-07   0.137985E-11   0.735785E-05   0.124042E-02
    83   0.300400E-09  -0.172897E-11   0.178443E-09   0.116229E-07  -0.172897E-11   0.669630E-13  -0.274565E-12   0.134549E-11   0.178443E-09  -0.274565E-12   0.996259E-07   0.735281E-05   0.116229E-07   0.134549E-11   0.735281E-05   0.125163E-02
    84   0.304217E-09  -0.180739E-11   0.175610E-09   0.114807E-07  -0.180739E-11   0.689238E-13  -0.278860E-12   0.131045E-11   0.175610E-09  -0.278860E-12   0.989419E-07   0.734732E-05   0.114807E-07   0.131045E-11   0.734732E-05   0.126275E-02
    85   0.308065E-09  -0.188677E-11   0.172845E-09   0.113412E-07  -0.188677E-11   0.708936E-13  -0.283177E-12   0.127516E-11   0.172845E-09  -0.283177E-12   0.982611E-07   0.734140E-05   0.113412E-07   0.127516E-11   0.734140E-05   0.127378E-02
    86   0.311945E-09  -0.196700E-11   0.170163E-09   0.112043E-07  -0.196700E-11   0.728713E-13  -0.286888E-12   0.124026E-11   0.170163E-09  -0.286888E-12   0.975835E-07   0.733510E-05   0.112043E-07   0.124026E-11   0.733510E-05   0.128472E-02
    87   0.315852E-09  -0.204804E-11   0.167564E-09   0.110701E-07  -0.204804E-11   0.748549E-13  -0.289902E-12   0.120707E-11   0.167564E-09  -0.289902E-12   0.969094E-07   0.732844E-05   0.110701E-07   0.120707E-11   0.732844E-05   0.129558E-02
    88   0.319782E-09  -0.212983E-11   0.165045E-09   0.109383E-07  -0.212983E-11   0.768427E-13  -0.292263E-12   0.117708E-11   0.165045E-09  -0.292263E-12   0.962388E-07   0.732144E-05   0.109383E-07   0.117708E-11   0.732144E-05   0.130636E-02
    89   0.323739E-09  -0.221232E-11   0.162600E-09   0.108090E-07  -0.221232E-11   0.788327E-13  -0.294012E-12   0.115181E-11   0.162600E-09  -0.294012E-12   0.955719E-07   0.731413E-05   0.108090E-07   0.115181E-11   0.731413E-05   0.131706E-02
    90   0.327721E-09  -0.229549E-11   0.160227E-09   0.106821E-07  -0.229549E-11   0.808226E-13  -0.295191E-12   0.113274E-11   0.160227E-09  -0.295191E-12   0.949087E-07   0.730654E-05   0.106821E-07   0.113274E-11   0.730654E-05   0.132768E-02
    91   0.331730E-09  -0.237928E-11   0.157921E-09   0.105575E-07  -0.237928E-11   0.828104E-13  -0.295846E-12   0.112102E-11   0.157921E-09  -0.295846E-12   0.942494E-07   0.729869E-05   0.105575E-07   0.112102E-11   0.729869E-05   0.133823E-02
    92   0.335766E-09  -0.246366E-11   0.155679E-09   0.104351E-07  -0.246366E-11   0.847943E-13  -0.296020E-12   0.111630E-11   0.155679E-09  -0.296020E-12   0.935939E-07   0.729060E-05   0.104351E-07   0.111630E-11   0.729060E-05   0.134871E-02
    93   0.339831E-09  -0.254857E-11   0.153500E-09   0.103149E-07  -0.254857E-11   0.867724E-13  -0.295760E-12   0.111789E-11   0.153500E-09  -0.295760E-12   0.929424E-07   0.728227E-05   0.103149E-07   0.111789E-11   0.728227E-05   0.135911E-02
    94   0.343925E-09  -0.263397E-11   0.151380E-09   0.101969E-07  -0.263397E-11   0.887430E-13  -0.295111E-12   0.112506E-11   0.151380E-09  -0.295111E-12   0.922948E-07   0.727372E-05   0.101969E-07   0.112506E-11   0.727372E-05   0.136944E-02
    95   0.348048E-09  -0.271980E-11   0.149317E-09   0.100810E-07  -0.271980E-11   0.907043E-13  -0.294121E-12   0.113712E-11   0.149317E-09  -0.294121E-12   0.916513E-07   0.726496E-05   0.100810E-07   0.113712E-11   0.726496E-05   0.137971E-02
    96   0.352200E-09  -0.280601E-11   0.147310E-09   0.996724E-08  -0.280601E-11   0.926543E-13  -0.292834E-12   0.115337E-11   0.147310E-09  -0.292834E-12   0.910117E-07   0.725600E-05   0.996724E-08   0.115337E-11   0.725600E-05   0.138990E-02
    97   0.356381E-09  -0.289251E-11   0.145354E-09   0.985550E-08  -0.289251E-11   0.945913E-13  -0.291297E-12   0.117308E-11   0.145354E-09  -0.291297E-12   0.903763E-07   0.724685E-05   0.985550E-08   0.117308E-11   0.724685E-05   0.140002E-02
    98   0.360593E-09  -0.297927E-11   0.143449E-09   0.974577E-08  -0.297927E-11   0.965133E-13  -0.289556E-12   0.119557E-11   0.143449E-09  -0.289556E-12   0.897450E-07   0.723752E-05   0.974577E-08   0.119557E-11   0.723752E-05   0.141008E-02
    99   0.364831E-09  -0.306621E-11   0.141590E-09   0.963801E-08  -0.306621E-11   0.984184E-13  -0.287656E-12   0.122012E-11   0.141590E-09  -0.287656E-12   0.891178E-07   0.722802E-05   0.963801E-08   0.122012E-11   0.722802E-05   0.142007E-02
   100   0.369098E-09  -0.315327E-11   0.139777E-09   0.953217E-08  -0.315327E-11   0.100305E-12  -0.285644E-12   0.124602E-11   0.139777E-09  -0.285644E-12   0.884949E-07   0.721836E-05   0.953217E-08   0.124602E-11   0.721836E-05   0.142999E-02
   101   0.373393E-09  -0.324036E-11   0.138007E-09   0.942821E-08  -0.324036E-11   0.102172E-12  -0.283566E-12   0.127257E-11   0.138007E-09  -0.283566E-12   0.878762E-07   0.720856E-05   0.942821E-08   0.127257E-11   0.720856E-05   0.143985E-02
   102   0.377716E-09  -0.332746E-11   0.136277E-09   0.932610E-08  -0.332746E-11   0.104015E-12  -0.281467E-12   0.129907E-11   0.136277E-09  -0.281467E-12   0.872617E-07   0.719863E-05   0.932610E-08   0.129907E-11   0.719863E-05   0.144964E-02
   103   0.382065E-09  -0.341445E-11   0.134584E-09   0.922579E-08  -0.341445E-11   0.105836E-12  -0.279395E-12   0.132480E-11   0.134584E-09  -0.279395E-12   0.866516E-07   0.718857E-05   0.922579E-08   0.132480E-11   0.718857E-05   0.145937E-02
   104   0.386440E-09  -0.350129E-11   0.132927E-09   0.912725E-08  -0.350129E-11   0.107630E-12  -0.277393E-12   0.134907E-11   0.132927E-09  -0.277393E-12   0.860458E-07   0.717840E-05   0.912725E-08   0.134907E-11   0.717840E-05   0.146903E-02
