#    L    TT             EE             TE             PP             TP          
   137   0.531111E-09   0.150083E-12  -0.588496E-11   0.498590E-06   0.563514E-09
   138   0.535747E-09   0.150238E-12  -0.592734E-11   0.495633E-06   0.558331E-09
   139   0.540373E-09   0.150326E-12  -0.596714E-11   0.492700E-06   0.553224E-09
   140   0.544991E-09   0.150347E-12  -0.600431E-11   0.489789E-06   0.548190E-09
   141   0.549599E-09   0.150303E-12  -0.603880E-11   0.486901E-06   0.543227E-09
   142   0.554194E-09   0.150192E-12  -0.607054E-11   0.484036E-06   0.538333E-09
   143   0.558778E-09   0.150016E-12  -0.609949E-11   0.481193E-06   0.533506E-09
   144   0.563347E-09   0.149774E-12  -0.612559E-11   0.478373E-06   0.528743E-09
   145   0.567902E-09   0.149467E-12  -0.614877E-11   0.475576E-06   0.524042E-09
   146   0.572439E-09   0.149096E-12  -0.616901E-11   0.472801E-06   0.519401E-09
   147   0.576956E-09   0.148662E-12  -0.618623E-11   0.470049E-06   0.514817E-09
   148   0.581453E-09   0.148165E-12  -0.620039E-11   0.467320E-06   0.510288E-09
   149   0.585926E-09   0.147607E-12  -0.621142E-11   0.464613E-06   0.505812E-09
   150   0.590375E-09   0.146987E-12  -0.621928E-11   0.461929E-06   0.501387E-09
   151   0.594795E-09   0.146308E-12  -0.622391E-11   0.459267E-06   0.497013E-09
   152   0.599189E-09   0.145570E-12  -0.622528E-11   0.456627E-06   0.492689E-09
   153   0.603553E-09   0.144776E-12  -0.622335E-11   0.454008E-06   0.488415E-09
   154   0.607889E-09   0.143926E-12  -0.621809E-11   0.451411E-06   0.484188E-09
   155   0.612194E-09   0.143021E-12  -0.620946E-11   0.448834E-06   0.480008E-09
   156   0.616470E-09   0.142065E-12  -0.619743E-11   0.446279E-06   0.475875E-09
   157   0.620714E-09   0.141057E-12  -0.618196E-11   0.443744E-06   0.471787E-09
   158   0.624927E-09   0.140001E-12  -0.616303E-11   0.441230E-06   0.467743E-09
   159   0.629106E-09   0.138897E-12  -0.614060E-11   0.438735E-06   0.463743E-09
   160   0.633251E-09   0.137748E-12  -0.611466E-11   0.436260E-06   0.459786E-09
   161   0.637359E-09   0.136556E-12  -0.608515E-11   0.433805E-06   0.455871E-09
   162   0.641428E-09   0.135323E-12  -0.605207E-11   0.431369E-06   0.451996E-09
   163   0.645458E-09   0.134053E-12  -0.601537E-11   0.428953E-06   0.448161E-09
   164   0.649445E-09   0.132747E-12  -0.597505E-11   0.426555E-06   0.444365E-09
   165   0.653390E-09   0.131406E-12  -0.593107E-11   0.424175E-06   0.440608E-09
   166   0.657290E-09   0.130034E-12  -0.588341E-11   0.421814E-06   0.436888E-09
   167   0.661144E-09   0.128635E-12  -0.583206E-11   0.419471E-06   0.433204E-09
   168   0.664951E-09   0.127210E-12  -0.577703E-11   0.417146E-06   0.429558E-09
   169   0.668711E-09   0.125764E-12  -0.571829E-11   0.414839E-06   0.425949E-09
   170   0.672422E-09   0.124298E-12  -0.565584E-11   0.412551E-06   0.422376E-09
   171   0.676081E-09   0.122815E-12  -0.558967E-11   0.410280E-06   0.418840E-09
   172   0.679690E-09   0.121320E-12  -0.551977E-11   0.408028E-06   0.415340E-09
   173   0.683247E-09   0.119815E-12  -0.544614E-11   0.405794E-06   0.411876E-09
   174   0.686748E-09   0.118304E-12  -0.536878E-11   0.403577E-06   0.408449E-09
   175   0.690196E-09   0.116790E-12  -0.528770E-11   0.401379E-06   0.405058E-09
   176   0.693587E-09   0.115277E-12  -0.520290E-11   0.399198E-06   0.401702E-09
   177   0.696920E-09   0.113769E-12  -0.511438E-11   0.397036E-06   0.398382E-09
   178   0.700193E-09   0.112269E-12  -0.502215E-11   0.394891E-06   0.395098E-09
   179   0.703407E-09   0.110780E-12  -0.492620E-11   0.392764E-06   0.391850E-09
   180   0.706559E-09   0.109307E-12  -0.482655E-11   0.390654E-06   0.388636E-09
