#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
    19   0.121840E-09   0.181440E-12   0.667037E-09   0.115655E-07   0.181440E-12   0.745154E-15  -0.102559E-11   0.223659E-11   0.667037E-09  -0.102559E-11   0.138054E-06   0.197889E-05   0.115655E-07   0.223659E-11   0.197889E-05   0.703195E-04
    20   0.123568E-09   0.188122E-12   0.645994E-09   0.117861E-07   0.188122E-12   0.796022E-15  -0.850194E-12   0.232670E-11   0.645994E-09  -0.850194E-12   0.139601E-06   0.211927E-05   0.117861E-07   0.232670E-11   0.211927E-05   0.792806E-04
    21   0.125358E-09   0.194134E-12   0.625834E-09   0.119859E-07   0.194134E-12   0.870645E-15  -0.596951E-12   0.239156E-11   0.625834E-09  -0.596951E-12   0.140974E-06   0.225922E-05   0.119859E-07   0.239156E-11   0.225922E-05   0.887723E-04
    22   0.127206E-09   0.199960E-12   0.606753E-09   0.121671E-07   0.199960E-12   0.980760E-15  -0.337384E-12   0.228636E-11   0.606753E-09  -0.337384E-12   0.142198E-06   0.239848E-05   0.121671E-07   0.228636E-11   0.239848E-05   0.987815E-04
    23   0.129102E-09   0.206191E-12   0.588580E-09   0.123270E-07   0.206191E-12   0.112775E-14  -0.123498E-12   0.209801E-11   0.588580E-09  -0.123498E-12   0.143277E-06   0.253665E-05   0.123270E-07   0.209801E-11   0.253665E-05   0.109290E-03
    24   0.131047E-09   0.213106E-12   0.571215E-09   0.124625E-07   0.213106E-12   0.130597E-14   0.125220E-13   0.212799E-11   0.571215E-09   0.125220E-13   0.144220E-06   0.267335E-05   0.124625E-07   0.212799E-11   0.267335E-05   0.120277E-03
    25   0.133036E-09   0.220607E-12   0.554797E-09   0.125785E-07   0.220607E-12   0.151005E-14   0.510010E-13   0.243899E-11   0.554797E-09   0.510010E-13   0.145042E-06   0.280843E-05   0.125785E-07   0.243899E-11   0.280843E-05   0.131728E-03
    26   0.135060E-09   0.228672E-12   0.539165E-09   0.126816E-07   0.228672E-12   0.173797E-14  -0.124673E-13   0.259835E-11   0.539165E-09  -0.124673E-13   0.145740E-06   0.294134E-05   0.126816E-07   0.259835E-11   0.294134E-05   0.143607E-03
    27   0.137127E-09   0.236792E-12   0.524524E-09   0.127748E-07   0.236792E-12   0.199049E-14  -0.157590E-12   0.223809E-11   0.524524E-09  -0.157590E-12   0.146341E-06   0.307229E-05   0.127748E-07   0.223809E-11   0.307229E-05   0.155914E-03
    28   0.139229E-09   0.244553E-12   0.510596E-09   0.128494E-07   0.244553E-12   0.226856E-14  -0.340339E-12   0.173518E-11   0.510596E-09  -0.340339E-12   0.146846E-06   0.320093E-05   0.128494E-07   0.173518E-11   0.320093E-05   0.168621E-03
    29   0.141369E-09   0.251593E-12   0.497181E-09   0.129007E-07   0.251593E-12   0.257105E-14  -0.511871E-12   0.180408E-11   0.497181E-09  -0.511871E-12   0.147257E-06   0.332700E-05   0.129007E-07   0.180408E-11   0.332700E-05   0.181702E-03
    30   0.143547E-09   0.257455E-12   0.484305E-09   0.129365E-07   0.257455E-12   0.289518E-14  -0.639529E-12   0.241965E-11   0.484305E-09  -0.639529E-12   0.147588E-06   0.345049E-05   0.129365E-07   0.241965E-11   0.345049E-05   0.195140E-03
    31   0.145739E-09   0.261868E-12   0.471841E-09   0.129660E-07   0.261868E-12   0.323916E-14  -0.711233E-12   0.274413E-11   0.471841E-09  -0.711233E-12   0.147827E-06   0.357083E-05   0.129660E-07   0.274413E-11   0.357083E-05   0.208889E-03
    32   0.147966E-09   0.264689E-12   0.459898E-09   0.129913E-07   0.264689E-12   0.360397E-14  -0.725596E-12   0.228244E-11   0.459898E-09  -0.725596E-12   0.148002E-06   0.368846E-05   0.129913E-07   0.228244E-11   0.368846E-05   0.222955E-03
    33   0.150228E-09   0.265853E-12   0.448351E-09   0.130027E-07   0.265853E-12   0.399246E-14  -0.683721E-12   0.157593E-11   0.448351E-09  -0.683721E-12   0.148111E-06   0.380308E-05   0.130027E-07   0.157593E-11   0.380308E-05   0.237305E-03
    34   0.152519E-09   0.265364E-12   0.437126E-09   0.129951E-07   0.265364E-12   0.440938E-14  -0.593772E-12   0.145836E-11   0.437126E-09  -0.593772E-12   0.148158E-06   0.391462E-05   0.129951E-07   0.145836E-11   0.391462E-05   0.251914E-03
    35   0.154839E-09   0.263448E-12   0.426270E-09   0.129735E-07   0.263448E-12   0.485917E-14  -0.478496E-12   0.198781E-11   0.426270E-09  -0.478496E-12   0.148147E-06   0.402299E-05   0.129735E-07   0.198781E-11   0.402299E-05   0.266759E-03
    36   0.157180E-09   0.260327E-12   0.415852E-09   0.129464E-07   0.260327E-12   0.534396E-14  -0.371504E-12   0.247151E-11   0.415852E-09  -0.371504E-12   0.148079E-06   0.412803E-05   0.129464E-07   0.247151E-11   0.412803E-05   0.281808E-03
    37   0.159537E-09   0.256184E-12   0.405885E-09   0.129164E-07   0.256184E-12   0.586466E-14  -0.301608E-12   0.237631E-11   0.405885E-09  -0.301608E-12   0.147957E-06   0.422969E-05   0.129164E-07   0.237631E-11   0.422969E-05   0.297039E-03
    38   0.161925E-09   0.251133E-12   0.396353E-09   0.128782E-07   0.251133E-12   0.642082E-14  -0.278566E-12   0.205504E-11   0.396353E-09  -0.278566E-12   0.147789E-06   0.432807E-05   0.128782E-07   0.205504E-11   0.432807E-05   0.312437E-03
    39   0.164343E-09   0.245099E-12   0.387227E-09   0.128309E-07   0.245099E-12   0.701241E-14  -0.296755E-12   0.175258E-11   0.387227E-09  -0.296755E-12   0.147579E-06   0.442317E-05   0.128309E-07   0.175258E-11   0.442317E-05   0.327980E-03
    40   0.166789E-09   0.237960E-12   0.378478E-09   0.127752E-07   0.237960E-12   0.763961E-14  -0.347667E-12   0.162713E-11   0.378478E-09  -0.347667E-12   0.147329E-06   0.451496E-05   0.127752E-07   0.162713E-11   0.451496E-05   0.343645E-03
    41   0.169255E-09   0.229598E-12   0.370077E-09   0.127117E-07   0.229598E-12   0.830250E-14  -0.421463E-12   0.177540E-11   0.370077E-09  -0.421463E-12   0.147041E-06   0.460339E-05   0.127117E-07   0.177540E-11   0.460339E-05   0.359410E-03
    42   0.171741E-09   0.219900E-12   0.361991E-09   0.126418E-07   0.219900E-12   0.900054E-14  -0.502957E-12   0.204807E-11   0.361991E-09  -0.502957E-12   0.146717E-06   0.468848E-05   0.126418E-07   0.204807E-11   0.468848E-05   0.375253E-03
    43   0.174249E-09   0.208697E-12   0.354186E-09   0.125666E-07   0.208697E-12   0.973304E-14  -0.575632E-12   0.223433E-11   0.354186E-09  -0.575632E-12   0.146358E-06   0.477022E-05   0.125666E-07   0.223433E-11   0.477022E-05   0.391153E-03
    44   0.176782E-09   0.195674E-12   0.346631E-09   0.124872E-07   0.195674E-12   0.104995E-13  -0.625364E-12   0.218282E-11   0.346631E-09  -0.625364E-12   0.145967E-06   0.484863E-05   0.124872E-07   0.218282E-11   0.484863E-05   0.407089E-03
    45   0.179348E-09   0.180728E-12   0.339294E-09   0.124035E-07   0.180728E-12   0.113014E-13  -0.647614E-12   0.198004E-11   0.339294E-09  -0.647614E-12   0.145546E-06   0.492377E-05   0.124035E-07   0.198004E-11   0.492377E-05   0.423046E-03
    46   0.181939E-09   0.163894E-12   0.332144E-09   0.123156E-07   0.163894E-12   0.121400E-13  -0.640240E-12   0.177197E-11   0.332144E-09  -0.640240E-12   0.145099E-06   0.499574E-05   0.123156E-07   0.177197E-11   0.499574E-05   0.439011E-03
    47   0.184545E-09   0.145216E-12   0.325161E-09   0.122232E-07   0.145216E-12   0.130161E-13  -0.604021E-12   0.166827E-11   0.325161E-09  -0.604021E-12   0.144628E-06   0.506461E-05   0.122232E-07   0.166827E-11   0.506461E-05   0.454970E-03
    48   0.187168E-09   0.124736E-12   0.318367E-09   0.121269E-07   0.124736E-12   0.139304E-13  -0.551430E-12   0.163343E-11   0.318367E-09  -0.551430E-12   0.144135E-06   0.513042E-05   0.121269E-07   0.163343E-11   0.513042E-05   0.470906E-03
    49   0.189816E-09   0.102498E-12   0.311794E-09   0.120271E-07   0.102498E-12   0.148837E-13  -0.497862E-12   0.159565E-11   0.311794E-09  -0.497862E-12   0.143621E-06   0.519319E-05   0.120271E-07   0.159565E-11   0.519319E-05   0.486801E-03
    50   0.192503E-09   0.785561E-13   0.305466E-09   0.119243E-07   0.785561E-13   0.158778E-13  -0.456601E-12   0.150143E-11   0.305466E-09  -0.456601E-12   0.143085E-06   0.525297E-05   0.119243E-07   0.150143E-11   0.525297E-05   0.502639E-03
    51   0.195227E-09   0.529437E-13   0.299374E-09   0.118189E-07   0.529437E-13   0.169131E-13  -0.432489E-12   0.137051E-11   0.299374E-09  -0.432489E-12   0.142530E-06   0.530982E-05   0.118189E-07   0.137051E-11   0.530982E-05   0.518409E-03
    52   0.197973E-09   0.257873E-13   0.293498E-09   0.117110E-07   0.257873E-13   0.179892E-13  -0.428259E-12   0.124096E-11   0.293498E-09  -0.428259E-12   0.141957E-06   0.536383E-05   0.117110E-07   0.124096E-11   0.536383E-05   0.534101E-03
    53   0.200730E-09  -0.280654E-14   0.287824E-09   0.116010E-07  -0.280654E-14   0.191054E-13  -0.445161E-12   0.114261E-11   0.287824E-09  -0.445161E-12   0.141367E-06   0.541507E-05   0.116010E-07   0.114261E-11   0.541507E-05   0.549704E-03
    54   0.203498E-09  -0.329174E-13   0.282350E-09   0.114896E-07  -0.329174E-13   0.202610E-13  -0.478515E-12   0.107252E-11   0.282350E-09  -0.478515E-12   0.140762E-06   0.546366E-05   0.114896E-07   0.107252E-11   0.546366E-05   0.565212E-03
    55   0.206285E-09  -0.646920E-13   0.277076E-09   0.113774E-07  -0.646920E-13   0.214556E-13  -0.522157E-12   0.101950E-11   0.277076E-09  -0.522157E-12   0.140144E-06   0.550969E-05   0.113774E-07   0.101950E-11   0.550969E-05   0.580619E-03
    56   0.209108E-09  -0.983313E-13   0.271995E-09   0.112649E-07  -0.983313E-13   0.226879E-13  -0.569181E-12   0.974187E-12   0.271995E-09  -0.569181E-12   0.139515E-06   0.555328E-05   0.112649E-07   0.974187E-12   0.555328E-05   0.595919E-03
    57   0.211976E-09  -0.133907E-12   0.267065E-09   0.111520E-07  -0.133907E-12   0.239580E-13  -0.609702E-12   0.934308E-12   0.267065E-09  -0.609702E-12   0.138874E-06   0.559449E-05   0.111520E-07   0.934308E-12   0.559449E-05   0.611105E-03
    58   0.214873E-09  -0.171369E-12   0.262235E-09   0.110384E-07  -0.171369E-12   0.252664E-13  -0.633091E-12   0.899387E-12   0.262235E-09  -0.633091E-12   0.138223E-06   0.563339E-05   0.110384E-07   0.899387E-12   0.563339E-05   0.626170E-03
    59   0.217783E-09  -0.210661E-12   0.257469E-09   0.109238E-07  -0.210661E-12   0.266138E-13  -0.632278E-12   0.867784E-12   0.257469E-09  -0.632278E-12   0.137561E-06   0.567005E-05   0.109238E-07   0.867784E-12   0.567005E-05   0.641106E-03
    60   0.220710E-09  -0.251818E-12   0.252792E-09   0.108083E-07  -0.251818E-12   0.279996E-13  -0.614432E-12   0.833222E-12   0.252792E-09  -0.614432E-12   0.136890E-06   0.570456E-05   0.108083E-07   0.833222E-12   0.570456E-05   0.655911E-03
    61   0.223664E-09  -0.294901E-12   0.248246E-09   0.106923E-07  -0.294901E-12   0.294232E-13  -0.590279E-12   0.788264E-12   0.248246E-09  -0.590279E-12   0.136211E-06   0.573699E-05   0.106923E-07   0.788264E-12   0.573699E-05   0.670582E-03
    62   0.226653E-09  -0.339940E-12   0.243858E-09   0.105760E-07  -0.339940E-12   0.308842E-13  -0.568574E-12   0.730139E-12   0.243858E-09  -0.568574E-12   0.135522E-06   0.576744E-05   0.105760E-07   0.730139E-12   0.576744E-05   0.685118E-03
    63   0.229673E-09  -0.386786E-12   0.239610E-09   0.104599E-07  -0.386786E-12   0.323818E-13  -0.550175E-12   0.674741E-12   0.239610E-09  -0.550175E-12   0.134828E-06   0.579602E-05   0.104599E-07   0.674741E-12   0.579602E-05   0.699520E-03
    64   0.232718E-09  -0.435242E-12   0.235468E-09   0.103444E-07  -0.435242E-12   0.339155E-13  -0.533969E-12   0.642630E-12   0.235468E-09  -0.533969E-12   0.134127E-06   0.582286E-05   0.103444E-07   0.642630E-12   0.582286E-05   0.713793E-03
    65   0.235785E-09  -0.485168E-12   0.231413E-09   0.102302E-07  -0.485168E-12   0.354848E-13  -0.520017E-12   0.647383E-12   0.231413E-09  -0.520017E-12   0.133422E-06   0.584806E-05   0.102302E-07   0.647383E-12   0.584806E-05   0.727938E-03
    66   0.238879E-09  -0.536650E-12   0.227467E-09   0.101170E-07  -0.536650E-12   0.370892E-13  -0.513067E-12   0.674637E-12   0.227467E-09  -0.513067E-12   0.132713E-06   0.587168E-05   0.101170E-07   0.674637E-12   0.587168E-05   0.741955E-03
    67   0.242008E-09  -0.589832E-12   0.223664E-09   0.100049E-07  -0.589832E-12   0.387284E-13  -0.519040E-12   0.703048E-12   0.223664E-09  -0.519040E-12   0.132000E-06   0.589378E-05   0.100049E-07   0.703048E-12   0.589378E-05   0.755844E-03
    68   0.245180E-09  -0.644822E-12   0.220024E-09   0.989376E-08  -0.644822E-12   0.404015E-13  -0.541226E-12   0.715871E-12   0.220024E-09  -0.541226E-12   0.131282E-06   0.591443E-05   0.989376E-08   0.715871E-12   0.591443E-05   0.769604E-03
    69   0.248391E-09  -0.701584E-12   0.216521E-09   0.978361E-08  -0.701584E-12   0.421071E-13  -0.572393E-12   0.714766E-12   0.216521E-09  -0.572393E-12   0.130561E-06   0.593370E-05   0.978361E-08   0.714766E-12   0.593370E-05   0.783239E-03
    70   0.251641E-09  -0.760071E-12   0.213115E-09   0.967446E-08  -0.760071E-12   0.438433E-13  -0.602675E-12   0.705994E-12   0.213115E-09  -0.602675E-12   0.129836E-06   0.595172E-05   0.967446E-08   0.705994E-12   0.595172E-05   0.796755E-03
    71   0.254926E-09  -0.820259E-12   0.209772E-09   0.956633E-08  -0.820259E-12   0.456091E-13  -0.624087E-12   0.694796E-12   0.209772E-09  -0.624087E-12   0.129110E-06   0.596856E-05   0.956633E-08   0.694796E-12   0.596856E-05   0.810157E-03
    72   0.258251E-09  -0.882179E-12   0.206488E-09   0.945929E-08  -0.882179E-12   0.474039E-13  -0.636168E-12   0.682339E-12   0.206488E-09  -0.636168E-12   0.128381E-06   0.598431E-05   0.945929E-08   0.682339E-12   0.598431E-05   0.823451E-03
    73   0.261619E-09  -0.945847E-12   0.203264E-09   0.935341E-08  -0.945847E-12   0.492272E-13  -0.640333E-12   0.668770E-12   0.203264E-09  -0.640333E-12   0.127652E-06   0.599903E-05   0.935341E-08   0.668770E-12   0.599903E-05   0.836643E-03
    74   0.265017E-09  -0.101114E-11   0.200103E-09   0.924876E-08  -0.101114E-11   0.510780E-13  -0.638002E-12   0.654236E-12   0.200103E-09  -0.638002E-12   0.126921E-06   0.601278E-05   0.924876E-08   0.654236E-12   0.601278E-05   0.849741E-03
    75   0.268434E-09  -0.107788E-11   0.197005E-09   0.914541E-08  -0.107788E-11   0.529547E-13  -0.630592E-12   0.638883E-12   0.197005E-09  -0.630592E-12   0.126189E-06   0.602564E-05   0.914541E-08   0.638883E-12   0.602564E-05   0.862750E-03
    76   0.271855E-09  -0.114591E-11   0.193973E-09   0.904345E-08  -0.114591E-11   0.548558E-13  -0.619520E-12   0.622858E-12   0.193973E-09  -0.619520E-12   0.125457E-06   0.603766E-05   0.904345E-08   0.622858E-12   0.603766E-05   0.875677E-03
    77   0.275272E-09  -0.121512E-11   0.191009E-09   0.894295E-08  -0.121512E-11   0.567801E-13  -0.606204E-12   0.606309E-12   0.191009E-09  -0.606204E-12   0.124724E-06   0.604892E-05   0.894295E-08   0.606309E-12   0.604892E-05   0.888530E-03
    78   0.278694E-09  -0.128554E-11   0.188114E-09   0.884397E-08  -0.128554E-11   0.587260E-13  -0.592061E-12   0.589382E-12   0.188114E-09  -0.592061E-12   0.123992E-06   0.605948E-05   0.884397E-08   0.589382E-12   0.605948E-05   0.901314E-03
    79   0.282141E-09  -0.135726E-11   0.185290E-09   0.874659E-08  -0.135726E-11   0.606922E-13  -0.578510E-12   0.572224E-12   0.185290E-09  -0.578510E-12   0.123260E-06   0.606942E-05   0.874659E-08   0.572224E-12   0.606942E-05   0.914036E-03
    80   0.285627E-09  -0.143037E-11   0.182538E-09   0.865089E-08  -0.143037E-11   0.626775E-13  -0.566967E-12   0.554982E-12   0.182538E-09  -0.566967E-12   0.122529E-06   0.607878E-05   0.865089E-08   0.554982E-12   0.607878E-05   0.926703E-03
    81   0.289167E-09  -0.150491E-11   0.179861E-09   0.855693E-08  -0.150491E-11   0.646803E-13  -0.558548E-12   0.537860E-12   0.179861E-09  -0.558548E-12   0.121799E-06   0.608764E-05   0.855693E-08   0.537860E-12   0.608764E-05   0.939321E-03
    82   0.292760E-09  -0.158084E-11   0.177255E-09   0.846471E-08  -0.158084E-11   0.666992E-13  -0.553154E-12   0.521288E-12   0.177255E-09  -0.553154E-12   0.121071E-06   0.609604E-05   0.846471E-08   0.521288E-12   0.609604E-05   0.951898E-03
    83   0.296400E-09  -0.165808E-11   0.174717E-09   0.837420E-08  -0.165808E-11   0.687324E-13  -0.550385E-12   0.505751E-12   0.174717E-09  -0.550385E-12   0.120343E-06   0.610403E-05   0.837420E-08   0.505751E-12   0.610403E-05   0.964441E-03
    84   0.300084E-09  -0.173652E-11   0.172243E-09   0.828541E-08  -0.173652E-11   0.707784E-13  -0.549838E-12   0.491735E-12   0.172243E-09  -0.549838E-12   0.119618E-06   0.611163E-05   0.828541E-08   0.491735E-12   0.611163E-05   0.976957E-03
    85   0.303807E-09  -0.181610E-11   0.169831E-09   0.819830E-08  -0.181610E-11   0.728353E-13  -0.551115E-12   0.479727E-12   0.169831E-09  -0.551115E-12   0.118894E-06   0.611890E-05   0.819830E-08   0.479727E-12   0.611890E-05   0.989454E-03
    86   0.307566E-09  -0.189673E-11   0.167478E-09   0.811288E-08  -0.189673E-11   0.749016E-13  -0.553812E-12   0.470213E-12   0.167478E-09  -0.553812E-12   0.118172E-06   0.612588E-05   0.811288E-08   0.470213E-12   0.612588E-05   0.100194E-02
    87   0.311354E-09  -0.197832E-11   0.165179E-09   0.802912E-08  -0.197832E-11   0.769756E-13  -0.557530E-12   0.463678E-12   0.165179E-09  -0.557530E-12   0.117453E-06   0.613259E-05   0.802912E-08   0.463678E-12   0.613259E-05   0.101442E-02
    88   0.315168E-09  -0.206080E-11   0.162931E-09   0.794702E-08  -0.206080E-11   0.790555E-13  -0.561867E-12   0.460610E-12   0.162931E-09  -0.561867E-12   0.116735E-06   0.613909E-05   0.794702E-08   0.460610E-12   0.613909E-05   0.102691E-02
    89   0.319010E-09  -0.214410E-11   0.160732E-09   0.786655E-08  -0.214410E-11   0.811394E-13  -0.566422E-12   0.461494E-12   0.160732E-09  -0.566422E-12   0.116021E-06   0.614541E-05   0.786655E-08   0.461494E-12   0.614541E-05   0.103940E-02
    90   0.322877E-09  -0.222817E-11   0.158577E-09   0.778770E-08  -0.222817E-11   0.832252E-13  -0.570795E-12   0.466816E-12   0.158577E-09  -0.570795E-12   0.115309E-06   0.615160E-05   0.778770E-08   0.466816E-12   0.615160E-05   0.105191E-02
    91   0.326771E-09  -0.231294E-11   0.156465E-09   0.771045E-08  -0.231294E-11   0.853109E-13  -0.574652E-12   0.476782E-12   0.156465E-09  -0.574652E-12   0.114600E-06   0.615769E-05   0.771045E-08   0.476782E-12   0.615769E-05   0.106445E-02
    92   0.330691E-09  -0.239839E-11   0.154394E-09   0.763479E-08  -0.239839E-11   0.873946E-13  -0.577932E-12   0.490476E-12   0.154394E-09  -0.577932E-12   0.113894E-06   0.616371E-05   0.763479E-08   0.490476E-12   0.616371E-05   0.107702E-02
    93   0.334641E-09  -0.248443E-11   0.152364E-09   0.756068E-08  -0.248443E-11   0.894745E-13  -0.580641E-12   0.506703E-12   0.152364E-09  -0.580641E-12   0.113191E-06   0.616966E-05   0.756068E-08   0.506703E-12   0.616966E-05   0.108962E-02
    94   0.338619E-09  -0.257106E-11   0.150374E-09   0.748809E-08  -0.257106E-11   0.915488E-13  -0.582786E-12   0.524265E-12   0.150374E-09  -0.582786E-12   0.112491E-06   0.617556E-05   0.748809E-08   0.524265E-12   0.617556E-05   0.110227E-02
    95   0.342627E-09  -0.265820E-11   0.148423E-09   0.741700E-08  -0.265820E-11   0.936156E-13  -0.584374E-12   0.541967E-12   0.148423E-09  -0.584374E-12   0.111794E-06   0.618144E-05   0.741700E-08   0.541967E-12   0.618144E-05   0.111495E-02
    96   0.346665E-09  -0.274580E-11   0.146512E-09   0.734737E-08  -0.274580E-11   0.956732E-13  -0.585411E-12   0.558613E-12   0.146512E-09  -0.585411E-12   0.111101E-06   0.618730E-05   0.734737E-08   0.558613E-12   0.618730E-05   0.112769E-02
    97   0.350733E-09  -0.283380E-11   0.144639E-09   0.727918E-08  -0.283380E-11   0.977195E-13  -0.585903E-12   0.573006E-12   0.144639E-09  -0.585903E-12   0.110412E-06   0.619317E-05   0.727918E-08   0.573006E-12   0.619317E-05   0.114049E-02
    98   0.354833E-09  -0.292215E-11   0.142805E-09   0.721240E-08  -0.292215E-11   0.997526E-13  -0.585858E-12   0.583950E-12   0.142805E-09  -0.585858E-12   0.109726E-06   0.619906E-05   0.721240E-08   0.583950E-12   0.619906E-05   0.115334E-02
    99   0.358960E-09  -0.301078E-11   0.141009E-09   0.714700E-08  -0.301078E-11   0.101771E-12  -0.585281E-12   0.590250E-12   0.141009E-09  -0.585281E-12   0.109043E-06   0.620499E-05   0.714700E-08   0.590250E-12   0.620499E-05   0.116626E-02
   100   0.363119E-09  -0.309962E-11   0.139250E-09   0.708295E-08  -0.309962E-11   0.103772E-12  -0.584180E-12   0.590709E-12   0.139250E-09  -0.584180E-12   0.108365E-06   0.621097E-05   0.708295E-08   0.590709E-12   0.621097E-05   0.117925E-02
   101   0.367307E-09  -0.318861E-11   0.137527E-09   0.702023E-08  -0.318861E-11   0.105755E-12  -0.582568E-12   0.584479E-12   0.137527E-09  -0.582568E-12   0.107690E-06   0.621701E-05   0.702023E-08   0.584479E-12   0.621701E-05   0.119231E-02
   102   0.371525E-09  -0.327771E-11   0.135841E-09   0.695880E-08  -0.327771E-11   0.107717E-12  -0.580492E-12   0.572113E-12   0.135841E-09  -0.580492E-12   0.107019E-06   0.622312E-05   0.695880E-08   0.572113E-12   0.622312E-05   0.120545E-02
   103   0.375771E-09  -0.336682E-11   0.134189E-09   0.689863E-08  -0.336682E-11   0.109657E-12  -0.578005E-12   0.554509E-12   0.134189E-09  -0.578005E-12   0.106352E-06   0.622930E-05   0.689863E-08   0.554509E-12   0.622930E-05   0.121866E-02
   104   0.380045E-09  -0.345586E-11   0.132571E-09   0.683968E-08  -0.345586E-11   0.111572E-12  -0.575160E-12   0.532567E-12   0.132571E-09  -0.575160E-12   0.105689E-06   0.623554E-05   0.683968E-08   0.532567E-12   0.623554E-05   0.123195E-02
